pair_id,algo,x,y
1,RRT,31.0,11.0
1,RRT,30.66,13.98
1,RRT,29.61,16.79
1,RRT,30.25,19.72
1,RRT,30.92,22.65
1,RRT,30.99,25.65
1,RRT,33.16,27.71
1,RRT,35.68,26.08
1,RRT,38.66,25.69
1,RRT,41.33,24.32
1,RRT,43.5,22.25
1,RRT,46.49,22.13
1,RRT,49.49,21.95
1,RRT,52.48,21.77
1,RRT,55.1,20.31
1,RRT,58.1,20.27
1,RRT,61.1,20.24
1,RRT,63.71,21.72
1,RRT,65.9,23.78
1,RRT,68.74,24.74
1,RRT,71.56,23.73
1,RRT,73.6,21.52
1,RRT,75.42,19.14
1,RRT,77.96,20.75
1,RRT,80.31,18.9
1,RRT,82.0,20.0
2,RRT,4.0,95.0
2,RRT,5.51,92.4
2,RRT,5.91,89.43
2,RRT,8.51,87.93
2,RRT,11.5,88.15
2,RRT,13.79,86.21
2,RRT,16.79,86.06
2,RRT,19.7,86.79
2,RRT,22.52,85.78
2,RRT,25.52,85.81
2,RRT,28.41,85.01
2,RRT,31.26,84.06
2,RRT,34.12,84.97
2,RRT,36.8,86.32
2,RRT,39.65,87.25
2,RRT,42.65,87.35
2,RRT,45.6,86.81
2,RRT,48.25,85.41
2,RRT,50.93,84.06
2,RRT,53.73,85.13
2,RRT,55.17,82.5
2,RRT,56.97,80.1
2,RRT,59.11,77.99
2,RRT,58.88,75.0
2,RRT,60.32,72.37
2,RRT,57.0,72.0
2,RRT,57.0,72.0
3,RRT,46.0,75.0
3,RRT,47.54,72.42
3,RRT,48.59,69.62
3,RRT,47.4,66.86
3,RRT,50.08,65.52
3,RRT,50.95,62.64
3,RRT,49.95,59.82
3,RRT,52.24,57.88
3,RRT,53.3,55.07
3,RRT,56.3,55.21
3,RRT,57.36,52.4
3,RRT,59.81,50.67
3,RRT,62.78,51.1
3,RRT,64.99,49.08
3,RRT,67.97,48.69
3,RRT,69.16,45.94
3,RRT,68.02,43.16
3,RRT,68.84,40.28
3,RRT,71.76,39.58
3,RRT,74.33,38.03
3,RRT,77.12,39.15
3,RRT,79.52,37.35
3,RRT,81.92,35.55
3,RRT,84.77,34.62
3,RRT,84.21,31.67
3,RRT,85.76,29.1
3,RRT,88.55,27.99
3,RRT,91.33,26.87
3,RRT,94.12,25.75
3,RRT,96.0,25.0
4,RRT,87.0,71.0
4,RRT,86.28,68.09
4,RRT,89.16,67.25
4,RRT,91.33,65.17
4,RRT,91.35,62.17
4,RRT,89.14,60.14
4,RRT,89.75,57.2
4,RRT,87.34,55.41
4,RRT,84.42,54.75
4,RRT,81.59,53.76
4,RRT,80.82,50.86
4,RRT,80.4,47.89
4,RRT,77.61,46.8
4,RRT,75.47,44.7
4,RRT,73.65,42.31
4,RRT,72.8,39.43
4,RRT,70.17,37.97
4,RRT,67.24,37.37
4,RRT,64.88,39.22
4,RRT,62.84,41.42
