Trial,Smoothness,Noisiness,Path Length,Reconstruction Error,Inference Time
1,156.83731,0.04540021,2.2024908,0.010484043,0.29729366302490234
2,194.15181,0.1609224,2.2890286,0.0007104808,0.32488369941711426
3,195.20181,0.04542023,2.1721525,0.001102805,0.29552316665649414
4,174.58847,0.104269445,1.9758253,0.035236932,0.2960021495819092
5,162.69807,0.07152128,2.3522058,0.0018368855,0.3011951446533203
6,142.54147,0.06411552,2.1123981,0.035037547,0.2923085689544678
7,145.80534,0.05945622,1.9345602,0.0035681808,0.3054008483886719
8,198.94722,0.112270564,2.0748281,0.0045275753,0.3002798557281494
9,91.030304,0.07485343,1.6438417,0.0015074955,0.29725146293640137
10,116.83443,0.22929096,2.0482144,0.024539365,0.29725193977355957
11,156.68454,0.040064093,2.2311616,0.03776761,0.2655210494995117
12,109.2318,0.06915403,1.8694177,0.008350324,0.2641568183898926
13,123.5156,0.10535065,1.8958375,0.0069800857,0.26793718338012695
14,108.974625,0.09322099,1.6149613,0.001627762,0.26456737518310547
15,155.25276,0.054540835,2.493349,0.027471982,0.26490020751953125
16,143.54527,0.043370303,2.3723462,0.03757625,0.26531243324279785
17,110.51848,0.08665938,1.6157247,0.0013186765,0.26415085792541504
18,171.25821,0.092920475,1.968734,0.026670665,0.2684669494628906
19,91.22475,0.070783,1.6575147,0.0022234074,0.2698662281036377
20,98.748604,0.050254527,1.7020544,0.031861078,0.26519107818603516
21,86.19911,0.19418702,1.8708767,0.0016133873,0.26612019538879395
22,156.47018,0.033757363,1.8543327,0.0006974495,0.38298869132995605
23,160.82727,0.14929678,2.1180482,0.0028495793,0.30791687965393066
24,117.78172,0.28374058,2.1422896,0.0005570681,0.29981231689453125
25,155.43886,0.11391637,1.9120405,0.030700192,0.2968595027923584
26,71.81208,0.065553725,1.7585974,0.013191534,0.2973477840423584
27,158.45732,0.06363088,2.1441762,0.0076676337,0.37113428115844727
28,153.82928,0.0660909,2.6367626,0.0011896798,0.29973769187927246
29,135.35757,0.113363214,2.2773833,0.014744628,0.27345776557922363
30,109.606476,0.08539114,1.6357733,0.021916935,0.32048559188842773
