Trial,Smoothness,Noisiness,Path Length,Reconstruction Error,Inference Time
1,45.225555,0.26210883,1.6080499,0.02647316,1.0250797271728516
2,46.630695,0.119486675,1.740366,0.027387545,1.072007417678833
3,97.0642,0.111747995,2.3747578,0.00033554848,1.0813095569610596
4,37.309895,0.1460331,1.873055,0.038701855,1.0394859313964844
5,77.3854,0.12043312,2.0923455,0.009165404,1.022782325744629
6,51.126633,0.11660429,2.3361504,0.02817163,1.0647368431091309
7,49.15519,0.2702985,1.6672388,0.0023926715,1.0350565910339355
8,87.72383,0.10829895,1.6985935,0.053012513,1.03963041305542
9,82.20247,0.16598572,1.9115605,0.028883167,1.0161962509155273
10,92.67339,0.11825195,1.9127992,0.0072865095,1.0299041271209717
11,115.91588,0.12626997,1.6627663,0.02938106,1.0444369316101074
12,89.57913,0.07346236,1.885893,0.0012096108,1.0267901420593262
13,81.89385,0.13480769,1.786466,0.021518543,1.0371167659759521
14,23.503166,0.077028245,1.8859081,0.06478004,1.028031826019287
15,101.13728,0.15804446,1.6776823,0.0012502456,1.0459299087524414
16,83.347374,0.15033466,2.0997808,0.006576377,1.025879144668579
17,59.41279,0.15463418,2.3404946,0.00069970544,1.046281099319458
18,102.266426,0.1601035,1.6821656,0.0010537477,0.9621765613555908
19,51.677395,0.281367,1.6972415,0.0012199843,0.9707632064819336
20,70.02521,0.1174585,1.559666,0.003570116,1.0642573833465576
21,65.74875,0.23609272,1.8369987,0.045894995,1.0591480731964111
22,34.8778,0.20545106,1.6995468,0.0013079732,1.0725750923156738
23,88.16157,0.10900082,1.6936374,0.053572103,1.0719058513641357
24,111.6452,0.15544052,1.7690743,0.0014727205,0.9995150566101074
25,93.34377,0.110990025,2.10702,0.026567517,1.078779697418213
26,40.034637,0.11093347,1.6678076,0.00019868083,1.0597014427185059
27,85.49738,0.10910019,2.1615422,0.0382317,1.0239064693450928
28,95.71719,0.15115039,1.623722,0.012368727,1.0003161430358887
29,40.083977,0.10474171,1.6236271,0.0048696613,1.035475254058838
30,58.58974,0.14848714,1.7109746,0.02652051,0.987863302230835
