Trial,Smoothness,Noisiness,Path Length,Reconstruction Error,Inference Time
1,41.982285,0.16827323,1.7333437,0.031505264,0.36307334899902344
2,43.84891,0.14277777,1.9463807,0.020035312,0.3056600093841553
3,29.922829,0.06764014,1.6946365,0.020343337,0.26725149154663086
4,47.82281,0.15763551,1.7797233,0.022951404,0.2640664577484131
5,28.519455,0.03876375,1.6361455,0.018646479,0.2664151191711426
6,29.406937,0.043993965,1.6432617,0.00067519647,0.2649972438812256
7,41.482384,0.048735943,1.9134399,0.001984718,0.27956295013427734
8,44.509075,0.2313872,1.7809409,0.00932346,0.26520371437072754
9,59.906082,0.2832736,1.5818366,0.033083767,0.27693748474121094
10,67.0866,0.31413653,1.8921119,0.015757512,0.3093385696411133
11,28.272621,0.057306275,1.700464,0.0026211427,0.2642958164215088
12,39.300163,0.15177669,1.7331061,0.021548137,0.26344990730285645
13,35.030678,0.17413858,1.7195309,0.02229863,0.262589693069458
14,40.58149,0.23700875,1.7306596,0.026726762,0.2628467082977295
15,32.38005,0.18045996,1.7454296,0.01713182,0.2660236358642578
16,27.76754,0.1296268,1.5766082,0.103664845,0.26447343826293945
17,58.936497,0.3057584,1.572231,0.032936014,0.26375675201416016
18,26.900606,0.062170178,2.0693467,0.006546778,0.2640197277069092
19,40.208008,0.23172782,1.6515388,0.0940254,0.26926660537719727
20,71.34151,0.39047134,1.7502508,0.0026140078,0.29704928398132324
21,26.886011,0.06046481,1.7254153,0.020137485,0.2920057773590088
22,39.548397,0.21731277,1.7741866,0.0056719272,0.33641958236694336
23,32.628574,0.0405269,1.899231,0.11449024,0.2956125736236572
24,29.496183,0.03684768,1.5536238,0.0006710489,0.29944419860839844
25,26.743923,0.06251371,2.0546603,0.0074119465,0.3004281520843506
26,52.640343,0.16811904,1.785369,0.007731794,0.31294941902160645
27,24.209414,0.04102952,1.8416934,0.003962897,0.2934904098510742
28,33.838593,0.20859444,1.7211629,0.029967189,0.3063492774963379
29,28.832817,0.0713069,1.7066067,0.018634262,0.29046106338500977
30,34.42134,0.11055717,1.6868179,0.048814207,0.29325079917907715
